"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
San Sebastian (Patronal),Enero,20,Cajamarca,Celendin,-,-6.866647222,-78.14141667,,,
San Agustin (Patronal),Agosto,28,Cajamarca,Celendin,Oxamarca,-7.098168,-78.073166,,,
Señor Padre Eterno (Patronal),Junio,10,Cajamarca,Celendin,Sorochuco,-6.91203,-78.254118,,,
Virgen Purisima (Patronal),Diciembre,8,Cajamarca,Celendin,Sorochuco,-6.91203,-78.254118,,,
San Isidro Labrador (Patronal),Mayo,19,Cajamarca,Celendin,Sucre,-6.941341,-78.136108,,,
San Juan Bautista (patronal),Junio,24,Cajamarca,Celendin,utco,-6.89609,-78.06409,,,
Navidad y Afto Nuevo (Tradicional),DiciembreJEnero,24 al 01-06-20,Cajamarca,Contumaza,Contumaza,-7.3658718,-78.8039017,,,
S. . Mateo (Patronal),Setiembre,21,Cajamarca,Contumaza,Contumaza,-7.3658718,-78.8039017,,,
San Sebastian (Patronal),Enero,20,Cajamarca,Contumaza,Contumaza,-7.3658718,-78.8039017,,,
Santisima Trinidad (Patronal),Junio,16,Cajamarca,Contumaza,Contumaza,-7.3658718,-78.8039017,,,
Semana Santa (Tradicional),Marzo/Abril,*,Cajamarca,Contumaza,Contumaza,-7.3658718,-78.8039017,,,
Santa Teresita del Nifio Jesus (patronal),Octubre,4,Cajamarca,Contumaza,Chilete,-7.2215234,-78.8390064,,,
San Santiago (Patronal),Julio,28,Cajamarca,Contumaza,Guzmango,-7.3848111,-78.8962555,,,
Dia del Soltero Casado y Nifio (Tradicional),Agosto,01-02-03,Cajamarca,Contumaza,-,-7.36905,-78.80653889,,,
San Isidro Labrador (Patronal),Abril,21-23,Cajamarca,Contumaza,San Benito,-7.425496,-78.92694,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Cajamarca,Contumaza,San Benito,-7.425496,-78.92694,,,
San Antonio de Padua (Patronal),Diciembre,30,Cajamarca,Contumaza,Santa Cruz de Toledo,-7.3446391,-78.8370003,,,
Virgen del Arco (Patronal),Diciembre,28,Cajamarca,Contumaza,Santa Cruz de Toledo,-7.3446391,-78.8370003,,,
San Francisco de Asis (Patronal),Octubre,12,Cajamarca,Contumaza,Tantarica,-7.213287,-78.927657,,,
San Isidro Labrador (patronal),Mayo,15,Cajamarca,Contumaza,Yonan,-7.253774,-79.129527,,,
San Isidro Labrador (Patronal),Mayo,15,Cajamarca,Cntervo,Cutervo,-6.3796,-78.8169,,,
San Juan Bautista (patronal),Julio,23 al 30,Cajamarca,Cutervo,Cutervo,-6.3796,-78.8169,,,
Señor de Animas (Patronal),Mayo,14,Cajamarca,Cutervo,Cutervo,-6.3796,-78.8169,,,
Virgen de la Aslulcion (patronal),Agosto,10-20,Cajamarca,Cutervo,Cutervo,-6.3796,-78.8169,,,
San Juan Bautista (Patronal),Setiembre,14,Cajamarca,Cutervo,Querocotillo,-6.359562,-79.034619,,,
Todos los Santos (Tradicional),Noviembre,1,Cajamarca,Cutervo,San Andres de Cutervo,-6.23638889,-78.71111111,,,
Niño Jesus (Patronal),Diciembre,25,Cajamarca,Cutervo,San Luis de Lucma,-6.293911,-78.603511,,,
Santo Domingo (patronal),Julio,10-20,Cajamarca,Cutervo,Santo Domingo de la Capilla,-6.24472,-78.8553,,,
Santo Tomas (Patronal),Diciembre,2,Cajamarca,Cutervo,Santo Tomas,-6.3792769,-78.8171196,,,
San Lorenzo (Patronal),Agosto,10,Cajamarca,Cutervo,Socota,-6.3163649,-78.6986518,,,
Virgen de la Calendaria (patronal),Febrero,2,Cajamarca,Cutervo,Socota,-6.3163649,-78.6986518,,,
Virgen Dolorosa (Patronal),Setiembre,14,Cajamarca,Chota,Anguia,-6.0341736,-78.60455,,,
Navidad (Tradicional),Diciembre,25,Cajamarca,Chota,Cochabamba,-6.0341736,-78.8857627,,,
Niño Jesus (Patronal),Diciembre,25,Cajamarca,Chota,Conchan,-6.44329,-78.6560798,,,
San Silvestre (Patronal),Diciembre,31,Cajamarca,Chota,Conchan,-6.44329,-78.6560798,,,
San Pedro (patronal),Julio,8,Cajamarca,Chota,Chimban,-6.44329,-78.6560798,,,
San Juan Bautista (Patronal),Junio,23-25,Cajamarca,Chota,Chota,-6.55972,-78.6469,,,
Señora de la Misericordia (Patronal),Setiembre,14,Cajarnarca,Chota,Chota,-6.55972,-78.6469,,,
Virgen de la Asuncion (patronal),Agosto,15,Cajamarca,Chota,Chota,-6.55972,-78.6469,,,
Virgen de la Inmaculada Concepcion (patronal),Diciembre,8,Cajamarca,Chota,Chota,-6.55972,-78.6469,,,
San Juan Bautista (patronal),Junio,24,Cajamarca,Chota,Huambos,-6.4530099,-78.9653873,,,
Sagrado Corazon de Jesus (Patronal),Enero,6,Cajamarc8,Chota,Lajas,-6.56029,-78.7347363,,,
San Antonio (Patronal),Julio,6,Cajamarca,Chota,Lajas,-6.56029,-78.7347363,,,
San Juan Bautista (Patronal),Junio,23,Cajamarca,Chota,Llama,-6.5142451,-79.1194153,,,
San Santiago (Patronal),Julio,25,Cajamarca,Chota,Miracosta,-6.40455,-79.283,,,
San Juan Bautista (Patronal),Junio,26,Cajamarca,Chota,-,-6.55972,-78.6469,,,
San Francisco (Patronal),Setiembre,4,Cajamarca,Chota,Pion,-6.178482,-78.481796,,,
San Pedro y San Pablo (Patronal),Junio,29,Cajamarca,Chota,Querocoto,-6.35861111,-79.03555556,,,
San Juan Bautista (Patronal),Setiembre,*,Cajamarca,Chota,San Juan de Licupes,-6.42417,-79.2422,,,
Sefior de la Angustia (Patronal),Setiembre,14,Cajamarca,Chota,Tacabamba,-6.39278,-78.6114,,,
San Miguel Arcangel (patronal),Setiembre,25,Cajamarca,Chota,Tacabamba,-6.39278,-78.6114,,,
Virgen del Cisne (patronal),Setiembre,7,Cajamarca,Chota,Tocmoche,-6.4124146,-79.3610823,,,
San Carlos (Patronal),Noviembre,4,Cajamarca,Hualgayoc,Bambamarca,-6.67953,-78.5192,,,
Virgen del Carmen (Patronal),Julio,15-21,Cajamarca,Hualgayoc,Bambamarca,-6.67953,-78.5192,,,
San Fernando (Patronal),Mayo,30,Cajamarca,Hualgayoc,Hualgayoc,-6.76472000,-78.081,,,
Semana Santa (Tradicional),Marzo/Abril,*,Cajamarca,Hualgayoc,Hualgayoc,-6.76472000,-78.081,,,
Virgen del Carmen (Patronal),Agosto/Setiembre,28-05,Cajamarca,Hualgayoc,Hualgayoc,-6.76472000,-78.081,,,
San Francisco (Patronal),Octubre,4,Cajamarca,Hualgayoc,-,-6.76472000,-78.081,,,
San Isidro Labrador (Patronal),Mayo,15,Cajamarca,Jaen,Bellavista,-5.6655312,-78.6790817,,,
Señor de Huamantanga (Patronal),Setiembre,12-16,Cajamarca,Jaen,Jaen,-5.70729,-78.8009,,,
San Juan Bautista (patronal),Junio,24,Cajamarca,San Ignacio,Chirinos,-5.305116,-78.899951,,,
Virgen del Rosario (Patronal),Octubre,ter. Domingo,Cajamarca,San Ignacio,Chirinos,-5.305116,-78.899951,,,
San Francisco de Nueva Esperanza (patronal),Octubre,4,Cajamarca,San Ignacio,San Ignacio,-5.1450670,-79.000453,,,
San Ignacio (Patronal),Julio,31,Cajamarca,San Ignacio,San Ignacio,-5.1450670,-79.000453,,,
San Isidro Labrador (patronal),Mayo,15,Cajamarca,San Marcos,Ichocan,-7.36889,-78.12970,,,
Virgen del Rosario (Patronal),Octubre,2do. Domingo,Cajamarca,San Marcos,Ichocan,-7.33527778,-78.16972222,,,
Las Cruces (fradicional),Mayo,3,Cajamarca,San Marcos,-,-7.33527778,-78.16972222,,,
San Isidro Labrador (Patronal),Mayo,15,Cajamarca,San Marcos,-,-7.33527778,-78.16972222,,,
San Marcos (Patronal),Abril,25,Cajamarca,San Marcos,-,-7.33527778,-78.16972222,,,
Jesus Nazareno (Patronal),Agosto,27-30,Cajamarca,San Miguel,Llapa,"-6,980,099","-78,808,410",,,
San Francisco de Asis (Patronal),Octubre,24,Cajamarca,San Miguel,Nanchoc,"-6,959,625","-79,242,130",,,
San Juan de Dios (Patronal),Octubre,24,Cajamarca,San Miguel,Niepos,"-6,926,785","-79,129,019",,,
San Gregorio (Patronal),Octubre,14,Cajamarca,San Miguel,San Gregorio,"-7,057,296","-79,095,494",,,
Semana Santa (Tradicional),Marzo/Abril,*,Cajamarea,San Miguel,San Gregorio,"-7,057,296","-79,095,494",,,
San Miguel Arcangel (Patronal),Setiembre,18-30,Cajamarca,San Miguel,San Miguel,"-7,001,239","-78,851,121",,,
Las Tres Cruces (Tradicional),Mayo,3,Cajamarca,San Pablo,San Pablo,"-7,115,734","-78,823,605",,,
San Juan Bautista (Patronal),Junio,20-26,Cajamarca,San Pablo,San Pablo,"-7,115,734","-78,823,605",,,
San Pablo (Patronal),Julio,13,Cajamarea,San Pablo,San Pablo,"-7,115,734","-78,823,605",,,
Señor de los Milagros (Tradicional),Setiembre,14,Cajamarca,San Pablo,San Pablo,"-7,115,734","-78,823,605",,,
San Roque (Patronal),Enero,1,Cajamares,Santa Cruz,Santa Cruz,-6.625924,-78.945,,,
Semana Santa (Tradicional),Marzo/Abril,*,Cajamarea,Santa Cruz,Santa Cruz,-6.625924,-78.945,,,
Señor del Costado (Patronal),Setiembre/Octubre,27 al 4,Cajamarea,Santa Cruz,Santa Cruz,-6.625924,-78.945,,,
San Pedro y San Pablo (Patronal),Junio,29,Callao,Callao,Callao,-12.05083333,-77.12583333,,,
Señor del Mar (Patronal),Octubre,28,Callao,Callao,Callao,-12.05083333,-77.12583333,,,
Virgen del Carmen (Patronal),Julio,16,Callao,Callao,Callao,-12.05083333,-77.12583333,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Anta,Cachimayo,-13.4791332,-72.0659137,,,
San Bartolome (Patronal),Agosto,24,Cuzco,Calca,-,-13.31930278,-71.95465556,,,
uno urco (Tradicional),Setiembre,18,Cuzco,Calca,-,-13.31930278,-71.95465556,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Cuzco,Calca,-,-13.31930278,-71.95465556,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Calca,Pisac,-13.4217223,-71.8514442,,,
Tambo Huacso (Tradicional),Diciembre,15,Cuzco,Calca,Pisac,-13.4217223,-71.8514442,,,
San Antonio de Padua (Patronal),Junio,13,Cuzco,Calca,San Salvador,-13.4921119,-71.7791533,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Calca,San Salvador,-13.4921119,-71.7791533,,,
Señor de Huancas (Patronal),Setiembre,14,Cuzco,Calca,San Salvador,-13.4921119,-71.7791533,,,
Virgen de las Mercedes (Patronal),Setiembre,24,Cuzco,Calca,San Salvador,-13.4921119,-71.7791533,,,
San Antonio de Padua (Patronal),Junio,13,Cuzco,Calca,Taray,-13.4283176,-71.8671942,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Calca,Taray,-13.4283176,-71.8671942,,,
San Miguel Arcangel (Patronal),Setiembre,29,Cuzco,Calca,Taray,-13.4283176,-71.8671942,,,
Chariaxe (Tradicional),Enero,20,Cuzco,Canas,Langui,-14.4325814,-71.2726665,,,
Luchas de Toccto (Tradicional),Febrero,2,Cuzco,Canas,-,-14.21805556,-71.43166667,,,
San Hilarion (Patronal),Enero,14,Cuzco,Canas,Pampamarca,-14.1453303,-71.4593563,,,
Señor de la Exaltacion (Patronal),Setiembre,15,Cuzco,Canas,Pampamarca,-14.1453303,-71.4593563,,,
Cambio de Varas de Mando (Tradicional),Enero,1,Cuzco,Canas,Yanaoca,-14.2167,-71.4322,,,
Folklorico de las Provincias Altas (Tradicional),Noviembre,4,Cuzco,Canas,Yanaoca,-14.2167,-71.4322,,,
Luchas de Toccto (Tradicional),Febrero,2,Cuzco,Canas,Yanaoca,-14.2167,-71.4322,,,
San Hilarion (Patronal),Enero,14,Cuzco,Canas,Yanaoca,-14.2167,-71.4322,,,
Virgen de la Calendaria (Patronal),Febrero,2,Cuzco,Canas,Yanaoca,-14.2167,-71.4322,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Canchis,Combapata,-14.1019,-71.4310884,,,
San Nicolas (Patronal),Diciembre,6,Cuzco,Canchis,Combapata,-14.1019,-71.4310884,,,
Virgen de las Nieves (Patronal),Agosto,5,Cuzco,Canchis,Combapata,-14.1019,-71.4310884,,,
San Lorenzo (Patronal),Agosto,10,Cuzco,Canchis,Checcacupe,-14.1019,-71.4310884,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Cuzco,Canchis,-,-14.283611111111,-71.223888888889,,,
Virgen de las Nieves (Patronal),Agosto,5,Cuzco,Canchis,-,-14.283611111111,-71.223888888889,,,
San Bartolome (Patronal),Agosto,24,Cuzco,Canchis,Pitumarca,-13.9803,-71.4175,,,
San Miguel (patronal),Octubre,11,Cuzco,Canchis,Pitumarca,-13.9803,-71.4175,,,
San Isidro Labrador (patronal),Mayo,15,Cuzco,Canchis,San Pedro,-14.186092900,-71.3434124,,,
San Pedro y San Pablo (Patronal),Junio,29,Cuzco,Canchis,San Pedro,-14.186092900,-71.3434124,,,
San Francisco de Asis (patronal),Octubre,4,Cuzco,Canchis,Tinta,-14.1440247,-71.4055109,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Canchis,Tinta,-14.1440247,-71.4055109,,,
Virgen de las Nieves (Patronal),Agosto,5,Cuzco,Canchis,Tinta,-14.1440247,-71.4055109,,,
Corpus Christi (Tradicional),Junio,22,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Corpus Christi (Tradicional),Junio,22,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Corpus Christi de San Cristobal (Tradicional),Agosto,2,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Corpus Christi de Santa Ana (Tradicional),Julio,26,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Corpus Christi de Santiago (Tradicional),Julio,25,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Domingo de Ramos (Tradicional),Abril,2,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Domingo de Ramos (Tradicional),Abril,2,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Las Cruces (Tradicional),Mayo,3,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
San Juan Bautista (patronal),Junio,24,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Santa Rosa de Lima (Patronal),Agosto,30,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Semana Santa (Tradicional),Abril,3,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Semana Santa (Tradicional),Abril,6,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Semana Santa (Tradicional),Abril,7,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Semana Santa (Tradicional),Abril,9,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Todos los Santos (Tradicional),Diciembre,23-24,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Virgen de la Asunta (Patronal),Agosto,15,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Virgen del Buen Suceso (Patronal),Junio,23,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Virgen del Buen Suceso (Patronal),Junio,23,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Virgen del Cannen (Patronal),Julio,16,Cuzco,Cuzco,Cuzco,-13.522222,-71.983333,,,
Corpus Christi de la Almudena (Tradicional),Setiembre,8,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Cuaresma (Tradicional),Marzo,12,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Cuaresma (Tradicional),Marzo,19,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Miercoles de Ceniza (Tradicional),Febrero,25,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Navidad (Tradicional),Diciembre,25,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Nifto Jesus (Patronal),Febrero,3,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Perchhapehiy (fradicional),Enero,20,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Primer Domingo de Cuaresma (Tradicional),Marzo,12,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Quincuagesima (Tradicional),Marzo,5,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Reina de Belen (patronal),Enero,30,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Reyes Magos (Tradicional),Enero,6,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Reyes Magos (Tradicional),Enero,6,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
San Aotonio Abad (Patronal),Enero,17,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
San Jose (Patronal),Marzo,19,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Segtmdo Domingo de Cuaresma (Tradicional),Marzo,19,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Señor de la Exaltacion (Patronal),Setiembre,15,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Señor del Cabildo (Patronal),Enero,3,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Todos los Santos (Tradicional),Noviembre,1,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Todos los Santos (Tradicional),Noviembre,2,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Virgen de la Almndena (Patronal),Setiembre,8,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Virgen del Rosario (patronal),Octubre,7,Cuzco,Cuzco,-,-13.522222,-71.983333,,,
Corpus Christi de San Jeronimo (Tradicional),Setiembre,30,Cuzco,Cuzco,San Jeronimo,-13.5520509,-71.8813133,,,
Cristo Rey (Tradicional),Octubre,31,Cuzco,Cuzco,San Sebastian,-13.5361966,-71.9261169,,,
San Agostin (Patronal),Agosto,28,Cuzco,Cuzco,San Sebastian,-13.5361966,-71.9261169,,,
San Isidro Labrador (Patronal),Mayo,15,Cuzco,Cuzco,San Sebastian,-13.5361966,-71.9261169,,,
San Sebastian (patronal),Enero,20,Cuzco,Cuzco,San Sebastian,-13.5361966,-71.9261169,,,
Santa Barbara (Patronal),Diciembre,4,Cuzco,Cuzco,San Sebastian,-13.5361966,-71.9261169,,,
Cambio de Varas de Mando (Tradicional),Enero,1,Cuzco,Chumbivilcas,Livitaca,-14.3143714,-71.6887093,,,
Luchas de Toccto (Tradicional),Febrero,2,Cuzco,Chumbivilcas,-,-14.45085556,-72.08240278,,,
Virgen del Carmen (Patronal),Julio,15-18,Cuzco,Paucartambo,Paucartambo,-13.319889,-71.592753,,,
Pachamama Rayrni (Tradicional),Agosto,1,Cuzco,Quispicanchi,Ccatcca,-13.6343928,-71.5289783,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Cuzco,Quispicanchi,-,-13.7,-71.64,,,
Sefior de CoyIlor Ritti (Tradicional),Junio,20,Cuzco,Quispicanchi,Ocongate,-13.6293047,-71.3859844,,,
Tantarayrni (Tradicional),Octubre,4-5,Cuzco,Quispicanchi,Oropesa,-13.5964374,-71.7654419,,,
San Antonio Abad (Patronal),Enero,17,Cuzco,Quispicanchi,Quiquijana,-13.8220365,-71.5416384,,,
Señor del Cabildo (Patronal),Enero,3,Cuzco,Quispicanchi,Quiquijana,-13.8220365,-71.5416384,,,
Virgen de la Calendaria (Patronal),Febrero,2,Cuzco,Quispicanchi,Quiquijana,-13.8220365,-71.5416384,,,
San Francisco de Asis (Patronal),Octubre,4,Cuzco,urubamba,Maras,-13.3361125,-72.1566153,,,
Akha Raymi (Tradicional),Noviembre,15,Cuzco,urubamba,-,-13.31033333,-72.12,,,
Ouantay Raymi (Tradicional),Junio,29,Cuzco,urubamba,Ollantaytambo,-13.2573858,-72.2631311,,,
Espiritu Santo Toro Toro (Tradicional),Mayo/Junio,*,Huancavelica,Huancavelica,-,-12.78583333,-74.97277778,,,
Espiritu Santo-Toro Toro (patronal),Mayo/Junio,*,Huancavelica,Huancavelica,-,-12.78583333,-74.97277778,,,
Niño Occe o Reyes Magos (Patronal),Enero,6,Huancavelica,Huancavelica,-,-12.78583333,-74.97277778,,,
Semana Santa (Tradicional),Marzo/Abril,*,Huancavelica,Huancavelica,-,-12.78583333,-74.97277778,,,
Todos los Santos (Tradicional),Noviembre,1,Huancavelica,Huancavelica,-,-12.78583333,-74.97277778,,,
San Juan (Patronal),Junio,24,Huanuco,Ambo,Colpas,-10.2683,-76.4153,,,
Virgen de las Nieves (Patronal),Agosto,5,Huanuco,Ambo,Colpas,-10.2683,-76.4153,,,
San Miguel Arcangel (Patronal),Setiembre,23,Huanuco,Ambo,Huacar,-10.1594,-76.2367,,,
Señor de Chacos (Patronal),Mayo,1,Huanuco,Ambo,San Rafael,-10.3378,76.1822,,,
Virgen de las Mercedes (patronal),Setiembre,24,Huanuco,Dos de Mayo,Ripan,-9.82861,-76.8031,,,
Virgen de la Candelaria (Patronal),Febrero,2,Huanuco,Huamalies,Llata,-9.54972,-76.8186,,,
Santa Rosa (Patronal),Febrero,30,Huanuco,Huamalies,Monzon,-9.27965,-76.396358,,,
San Pedro (Patronal),Junio,29,Huanuco,Huanuco,Chinchao (Acomayo),-9.775869,-76.085747,,,
San Juan (Patronal),Junio,20-24,Huanuco,Huanuco,Chinchao (Tingo Maria),-9.29532,-75.99574,,,
Señor de Churubamba (Patronal),Octubre,03-04,Huanuco,Huanuco,Churubamba,-9.82611,-76.1339,,,
San Pedro (Patronal),Junio,29,Huanuco,Huanuco,Margos (Chaulan),-10.05616,-76.48528,,,
Afio Nuevo (Tradicional),Enero,1,Huanuco,Huanuco,-,-9.93062,-76.24223,,,
Las Cruces (Tradicional),Mayo,*,Huanuco,Huanuco,-,-9.93062,-76.24223,,,
Navidad (Tradicional),Diciembre,24-25,Huanuco,Huanuco,-,-9.93062,-76.24223,,,
San Pedro y San Pablo (Patronal),Julio,29,Huanuco,Huanuco,-,-9.93062,-76.24223,,,
Semana Santa (Tradicional),Abril,*,Huanuco,Huanuco,-,-9.93062,-76.24223,,,
Virgen del Cannen (Patronal),Julio,16,Huanuco,Huanuco,-,-9.93062,-76.24223,,,
Santa Maria (patronal),Setiembre,20-31,Huanuco,Huanuco,Santa Maria del Valle,-9.86275,-76.16998,,,
Señor de Bafios (Patronal),Mayo,01-07,Huanuco,Lauricocha,-,-10.033888888889,-76.581944444444,,,
Virgen de la Candelaria (Patronal),Febrero,2,Huanuco,Pachitea,Chaglla,-9.84495,-75.903,,,
Bajada de Reyes (Tradicional),Enero,6,Ica,Ica,Ica,-14.06777,75.72861,,,
Las Cruces (Tradicional),Mayo,3,Ica,Ica,-,-14.1737219,-75.3779765,,,
Virgen de Yauca (Tradicional),Agosto,1er domingo,Ica,Ica,Yauca,-11.95771,-75.368010,,,
San Isidro Labrador (patronal),Julio,10,Junin,Concepcion,Aco,-11.95771,-75.368010,,,
San Isidro Labrador (Patronal),Mayo,13,Junin,Concepcion,Aco,-11.95771,-75.368010,,,
San Locas (Patronal),Octubre,18,Junin,Concepcion,Aco,-11.95771,-75.368010,,,
San Lucas (Patronal),Octubre,18,Junin,Concepcion,Ahuac (Huarisca),-12.0858,-75.3211,,,
San Juan Bautista (patronal),Junio,4,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Santa Cruz (patronal),Setiembre,15,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Santa Rosa de Ocopa (Patronal),Diciembre,25,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de la Candelaria (Patronal),Febrero,8,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de la Inmaculada Concepcion (Patronal),Diciembre,8,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de la Magdalena (Patronal),Julio,23,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de Lourdes (Patronal),Enero,11,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Virgen de Lourdes (Patronal),Febrero,11,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
Santa Cruz (Patronal),Setiembre,14,Junin,Concepcion,Concepcion,-11.91762,-75.31401,,,
San Antonio de Padua (Patronal),Junio,13,Junin,Concepcion,Chambara,-12.0272,"-753,753",,,
Virgen de Cocharcas (patronal),Setiembre,15,Junin,Concepcion,Chambara,-12.0272,"-753,753",,,
Niño Jesus (Patronal),Enero,8,Junin,Concepcion,Heroinas Toledo,-11.8356,-75.2908,,,
San Antonio de Padua (Patronal),Junio,13,Junin,Concepcion,Heroinas Toledo,-11.8356,-75.2908,,,
Virgen del Carmen (Patronal),Julio,16,Junin,Concepcion,Heroinas Toledo,-11.8356,-75.2908,,,
San Isidro Labrador (Patronal),Julio,18,Junin,Concepcion,Manzanares,-12.0161,-75.3458,,,
San Miguel Arcangel (Patronal),Agosto,11-13,Junin,Concepcion,Manzanares,-12.0161,-75.3458,,,
San Sebastian y San Fabian (Patronal),Enero,20,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Señor de Muruhuay (Patronal),Mayo,26,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Virgen de la Asuncion (Patronal),Agosto,15,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Virgen de la Candelaria (Patronal),Febrero,8,Junin,Concepcion,Matahuasi,-11.88185,-75.35743,,,
Virgen de la Asuncion (Patronal),Movil,,Junin,Concepcion,Mito,-11.93655,-75.33803,,,
San Francisco de Asis (Patronal),Octubre,4,Junin,Concepcion,Orcotuna,-11.96892,-75.3093,,,
Virgen de Cocharcas (Patronal),Septiembre,8,Junin,Concepcion,Orcotuna,-11.96892,-75.3093,,,
San Roque (Patronal),Agosto,16,Junin,Concepcion,San Jose de Quero,-12.0855,-75.53571,,,
San Santiago de Quero (Patronal),Marzo,19,Junin,Concepcion,San Jose de Quero,-12.0855,-75.53571,,,
Santa Rosa (Patronal),Agosto,30,Junin,Concepcion,San Jose de Quero,-12.0855,-75.53571,,,
San Miguel Arcangel (Patronal),Septiembre,28,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
Santa Rosa de Lima (Patronal),Agosto,30,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
Santa Rosa de Ocopa (Patronal),Diciembre,25,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
San Martin de Porres (Patronal),Noviembre,3,Junin,Concepcion,Santa Rosa de Ocopa,-11.86993,-75.30685,,,
San Isidro Labrador (Patronal),Septiembre,18,Junin,Chupaca,3 de diciembre,-12.10966,-75.24523,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Chupaca,3 de diciembre,-12.10966,-75.24523,,,
Virgen de Cocharcas (Patronal),Septiembre,8,Junin,Chupaca,3 de diciembre,-12.10966,-75.24523,,,
Niño Jesus de Praga (Patronal),Enero,1,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Juan Bautista (Patronal),Junio,4,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Pedro y San Pablo (Patronal),Junio,29,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Sebastian y Niño de Praga (Patronal),Movil,,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
San Sebastian y Niño de Praga (Patronal),Movil,,Junin,Chupaca,Ahuac,-12.0813726,-75.3188324,,,
