"Apuntes para un inventario general de fiestas tradicionales del Peru (Instituto Nacional de Cultura, 2001)",,,,,,,,,,
Fiesta,Mes,Dia,Departamento,Provincia,Distrito,latitud ,longitud,,,
Santa Maria Magdalena (Patronal),Julio,22,Ancash ,Casma,-,-9.4741666666667,-78.310555555556,,,
Virgen del Carmen (Patronal),Julo,16-20,Ancash ,Casma,-,-9.4741666666667,-78.310555555556,,,
Corpus Christi (Tradicional),Junio,28-29,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
San Andres (Patronal),Noviembre,8-30,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
San Jeronimo (Patronal),Setiembre,28-30,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
Santa Cruz (Patronal),Setiembre,23-28,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
Semana Santa (Tradicional),Marzo / Abril,*,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
Virgen Betlemita (Patronal),Enero,20-24,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
Virgen de las Mercedes (Patronal),Setiembre,23-28,Ancash ,Huaraz,-,-9.5333333333333,-77.53333333,,,
San Pedro (patronal),Julio,24,Ancash ,Huari,-,-9.3472222222222,-77.17083333,,,
Santo Domingo de Guzman (Patronal),Octubre,28-30,Ancash ,Huari,-,-9.3472222222222,-77.17083333,,,
Virgen del Rosario (patronal),Octubre,7,Ancash ,Huari,-,-9.3472222222222,-77.17083333,,,
Virgen Peregrina (patronal),Octubre,12,Ancash ,Huari,-,-9.3472222222222,-77.17083333,,,
Corazon de Jesus (patronal),Junio,30,Ancash ,Huarmey,-,-10.06861111,-78.16027778,,,
San Pedro (Patronal),Junio,28-29,Ancash ,Huarmey,-,-10.06861111,-78.16027778,,,
Virgen del Rosario (Patronal),Octubre,*,Ancash ,Huarmey,-,-10.06861111,-78.16027778,,,
Niño Jesus (Patronal),Enero,*,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
San Jacinto (patronal),Agosto,16-19,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
San Juan (Patronal),Junio,22-28,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
San Juan (Patronal),Junio,23-25,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
San Martin de Porres (Patronal),Noviembre,3,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
San Santiago (Patronal),Julio ,6-9,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Santa Isabel (Patronal),Julio,7-9,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Santa Isabel (Patronal),Julio,8-9,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Santa Rosa de Huina (patronal),Agosto,20,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Santo Toribio (Patronal),Abril,24,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Sefior de los Milagros (Tradicional),Setiembre,10-13,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Todos los Santos (Tradicional),Noviembre,*,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Virgen de Chiquinquira (Patronal),Enero,18-24,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Virgen de Guadalupe (Patronal),Diciembre,*,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Virgen de Huata (Patronal),Agosto,*,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Virgen de la Asuncion (Patronal),Agosto,14-18,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Virgen de la Inmaculada Concepcion (Patronal),Agosto,7-9,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
Virgen del Cannen (Patronal),Julio,15-18,Ancash ,Huaylas ,-,-8.8725,-77.8928,,,
San Santiago (Patronal),Junio,25,Ancash ,Pallasca,-,-8.26344,-78.00486,,,
Santo Domingo de Guzman (patronal),Agosto,4,Ancash ,Pallasca,-,-8.26344,-78.00486,,,
Virgen del Rosario (patronal),Octubre,7,Ancash ,Pallasca,-,-8.26344,-78.00486,,,
San Francisco de Asis (patronal),Octubre,23-25,Ancash ,Pallasca,-,-8.26344,-78.00486,,,
San Juan Bautista (Patronal),Octubre,22-24,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
Santa Cruz (Patronal),Setiembre,19,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
Santa Rosa (Patroual),Agosto,30,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
Señor de Santa Cruz (Tradicional),Setiembre,12-16,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
Virgen de la Natividad (patronal),Setiembre,29,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
Virgen del Rosario (Patronal),Octubre,7,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
San Lorenzo (Patronal),Agosto,4-5,Ancash ,Pomabamba ,-,-8.82,-77.46055556,,,
